r,C00,C01,C02,C03,C04,C05,C06,C07,C08,C11,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28,C33,C34,C35,C36,C37,C38,C44,C45,C46,C47,C48,C55,C56,C57,C58,C66,C67,C68,C77,C78,C88
0.150229,0.0840736,-3.45034e-07,-1.24573e-08,-3.45034e-07,0.0371481,6.35826e-09,-1.24573e-08,6.35826e-09,0.0371483,0.0392434,3.00316e-07,0.0392434,-1.18125e-08,1.99368e-07,3.00316e-07,1.99368e-07,-5.05629e-07,0.0392435,2.79561e-07,-1.45224e-07,-1.68203e-07,0.0392435,-1.68203e-07,2.49536e-07,0.0392434,-1.18125e-08,1.99368e-07,3.00316e-07,1.99368e-07,-5.05629e-07,0.0840742,-4.86178e-08,-1.45439e-10,-4.86178e-08,0.037148,0.0392436,-8.6106e-08,0.0392436,-5.6144e-08,0.0392435,-1.68203e-07,2.49536e-07,0.0392436,-5.6144e-08,0.0840741
0.10501,0.0519367,-1.059e-08,-2.12185e-07,-1.059e-08,0.0248186,1.04479e-07,-2.12185e-07,1.04479e-07,0.0248191,0.0253704,7.63374e-09,0.0253704,-1.53191e-07,6.79247e-08,7.63374e-09,6.79247e-08,-1.33168e-07,0.0253705,5.72067e-08,-2.69055e-07,-6.73889e-08,0.0253705,-6.73889e-08,1.96921e-08,0.0253704,-1.53191e-07,6.79247e-08,7.63374e-09,6.79247e-08,-1.33168e-07,0.0519366,8.93521e-08,7.00736e-08,8.93521e-08,0.0248187,0.0253705,-5.23859e-08,0.0253705,6.67189e-08,0.0253705,-6.73889e-08,1.96921e-08,0.0253705,6.67189e-08,0.0519366
0.409791,1.1251,6.25613e-08,-2.11678e-08,6.25613e-08,0.320746,-2.03003e-08,-2.11678e-08,-2.03003e-08,0.320746,0.483527,-5.12956e-08,0.483527,4.9425e-08,9.06209e-08,-5.12956e-08,9.06209e-08,3.08308e-08,0.483527,-5.02884e-08,-7.85382e-08,-3.57075e-08,0.483527,-3.57075e-08,1.83874e-08,0.483527,4.9425e-08,9.06209e-08,-5.12956e-08,9.06209e-08,3.08308e-08,1.1251,1.69974e-07,1.73474e-08,1.69974e-07,0.320747,0.483527,1.27731e-08,0.483527,2.91644e-08,0.483527,-3.57075e-08,1.83874e-08,0.483527,2.91644e-08,1.1251
0.364571,0.916487,2.47827e-07,-2.09412e-07,2.47827e-07,0.26671,5.43274e-08,-2.09412e-07,5.43274e-08,0.26671,0.401697,-6.23895e-08,0.401697,1.1692e-07,-4.56979e-09,-6.23895e-08,-4.56979e-09,5.95346e-08,0.401697,-8.72003e-08,4.56485e-08,-3.67171e-08,0.401697,-3.67171e-08,2.26067e-10,0.401697,1.1692e-07,-4.56979e-09,-6.23895e-08,-4.56979e-09,5.95346e-08,0.916487,5.73277e-09,5.99588e-08,5.73277e-09,0.266711,0.401697,9.81361e-08,0.401697,1.14716e-07,0.401697,-3.67171e-08,2.26067e-10,0.401697,1.14716e-07,0.916487
0.319352,0.673413,2.83321e-07,2.15768e-08,2.83321e-07,0.206032,3.35163e-09,2.15768e-08,3.35163e-09,0.206033,0.305308,-2.35774e-08,0.305308,2.47683e-08,-8.3626e-08,-2.35774e-08,-8.3626e-08,-4.81853e-07,0.305308,-3.77095e-08,2.40508e-07,2.56483e-08,0.305308,2.56483e-08,1.25425e-08,0.305308,2.47683e-08,-8.3626e-08,-2.35774e-08,-8.3626e-08,-4.81853e-07,0.673413,-3.55228e-07,-1.4024e-07,-3.55228e-07,0.206032,0.305308,-6.17565e-08,0.305308,-3.66563e-07,0.305308,2.56483e-08,1.25425e-08,0.305308,-3.66563e-07,0.673413
0.274133,0.423054,4.58332e-07,2.65398e-07,4.58332e-07,0.138634,-1.76497e-07,2.65398e-07,-1.76497e-07,0.138633,0.194781,-3.88414e-07,0.194781,-4.01834e-09,2.02983e-07,-3.88414e-07,2.02983e-07,-3.75272e-07,0.194781,-3.58539e-07,-1.45381e-07,-3.4025e-07,0.194781,-3.4025e-07,1.89815e-07,0.194781,-4.01834e-09,2.02983e-07,-3.88414e-07,2.02983e-07,-3.75272e-07,0.423052,-3.6037e-07,-3.52081e-07,-3.6037e-07,0.138634,0.194781,-2.08791e-07,0.194781,-3.36052e-08,0.194781,-3.4025e-07,1.89815e-07,0.194781,-3.36052e-08,0.423053
0.228914,0.261061,9.71779e-09,-1.30279e-07,9.71779e-09,0.0984203,-1.07957e-07,-1.30279e-07,-1.07957e-07,0.0984193,0.124456,2.8984e-08,0.124456,-7.88217e-08,3.87587e-07,2.8984e-08,3.87587e-07,5.17884e-07,0.124456,2.64789e-08,-1.78925e-07,-3.36902e-07,0.124456,-3.36902e-07,1.1865e-07,0.124456,-7.88217e-08,3.87587e-07,2.8984e-08,3.87587e-07,5.17884e-07,0.26106,1.19146e-07,-2.54164e-08,1.19146e-07,0.0984209,0.124456,4.26298e-07,0.124456,2.1928e-07,0.124456,-3.36902e-07,1.1865e-07,0.124456,2.1928e-07,0.26106
0.183695,0.164856,-5.61245e-07,-9.86359e-08,-5.61245e-07,0.0677216,1.0778e-07,-9.86359e-08,1.0778e-07,0.0677206,0.0785988,-1.35854e-07,0.0785988,-3.23099e-07,3.86994e-07,-1.35854e-07,3.86994e-07,5.39894e-07,0.0785991,2.41368e-07,4.71822e-07,1.34152e-07,0.0785991,1.34152e-07,6.7459e-08,0.0785988,-3.23099e-07,3.86994e-07,-1.35854e-07,3.86994e-07,5.39894e-07,0.164856,2.19148e-07,3.07283e-07,2.19148e-07,0.0677211,0.0785989,2.16568e-08,0.0785989,5.25579e-07,0.0785991,1.34152e-07,6.7459e-08,0.0785989,5.25579e-07,0.164856
0.138476,0.0840736,-3.45034e-07,-1.24573e-08,-3.45034e-07,0.0371481,6.35826e-09,-1.24573e-08,6.35826e-09,0.0371483,0.0392434,3.00316e-07,0.0392434,-1.18125e-08,1.99368e-07,3.00316e-07,1.99368e-07,-5.05629e-07,0.0392435,2.79561e-07,-1.45224e-07,-1.68203e-07,0.0392435,-1.68203e-07,2.49536e-07,0.0392434,-1.18125e-08,1.99368e-07,3.00316e-07,1.99368e-07,-5.05629e-07,0.0840742,-4.86178e-08,-1.45439e-10,-4.86178e-08,0.037148,0.0392436,-8.6106e-08,0.0392436,-5.6144e-08,0.0392435,-1.68203e-07,2.49536e-07,0.0392436,-5.6144e-08,0.0840741
0.443256,1.19609,-7.00147e-09,6.85766e-09,-7.00147e-09,0.340068,-3.52865e-08,6.85766e-09,-3.52865e-08,0.340067,0.512081,-1.05246e-08,0.512081,-4.16517e-09,3.79693e-08,-1.05246e-08,3.79693e-08,2.20871e-08,0.512081,9.07922e-09,-5.67343e-08,-2.63585e-08,0.512081,-2.63585e-08,1.98267e-08,0.512081,-4.16517e-09,3.79693e-08,-1.05246e-08,3.79693e-08,2.20871e-08,1.19609,1.42098e-07,-2.90131e-08,1.42098e-07,0.340068,0.512081,-4.04571e-08,0.512081,8.17546e-09,0.512081,-2.63585e-08,1.98267e-08,0.512081,8.17546e-09,1.19609
