t,c11, c12, c13, c14, c22, c23, c24, c33, c34, c44
0.129046,1.10503,-4.98047e-09,-4.98047e-09,0.453534,0.330163,0.330163,4.60433e-09,0.330163,4.60433e-09,1.13175
0.109667,0.83554,-1.34143e-09,-1.34143e-09,0.326003,0.262947,0.262947,1.74646e-08,0.262947,1.74646e-08,0.883274
0.0902869,0.647046,-4.03948e-09,-4.03948e-09,0.240685,0.206479,0.206479,-1.08622e-08,0.206479,-1.08622e-08,0.686643
0.0709073,0.47008,2.11425e-09,2.11425e-09,0.163125,0.137639,0.137639,-1.0445e-08,0.137639,-1.0445e-08,0.480813
0.0515276,0.270689,-5.24318e-09,-5.24318e-09,0.104696,0.0900302,0.0900302,1.39311e-08,0.0900302,1.39311e-08,0.337673
0.032148,0.162162,-1.1442e-09,-1.1442e-09,0.052887,0.0454245,0.0454245,2.30071e-08,0.0454245,2.30071e-08,0.178358
0.0127683,0.0784969,4.82359e-10,4.82359e-10,0.0227515,0.0203254,0.0203254,-1.59293e-08,0.0203254,-1.59293e-08,0.082043
0.143389,1.22843,-6.00637e-10,-6.00637e-10,0.514607,0.356995,0.356995,-5.3035e-09,0.356995,-5.3035e-09,1.23808
0.124009,1.02868,-6.01731e-10,-6.01731e-10,0.407077,0.310625,0.310625,-2.57729e-10,0.310625,-2.57729e-10,1.03705
0.104629,0.774374,2.40185e-09,2.40185e-09,0.28796,0.240476,0.240476,-1.96272e-08,0.240476,-1.96272e-08,0.78946
0.0852497,0.525491,2.34569e-09,2.34569e-09,0.200174,0.174308,0.174308,6.54207e-09,0.174308,6.54207e-09,0.595832
0.06587,0.367563,5.90176e-09,5.90176e-09,0.132267,0.112207,0.112207,-9.26913e-09,0.112207,-9.26913e-09,0.405642
0.0464904,0.261865,3.96642e-09,3.96642e-09,0.0924916,0.0759987,0.0759987,8.43598e-09,0.0759987,8.43598e-09,0.293876
0.0271107,0.157118,-3.85997e-09,-3.85997e-09,0.0398643,0.0329466,0.0329466,1.93875e-08,0.0329466,1.93875e-08,0.133116
0.157731,1.33465,7.59826e-10,7.59826e-10,0.566633,0.380414,0.380414,-4.65207e-10,0.380414,-4.65207e-10,1.32372
0.138351,1.22843,-6.00637e-10,-6.00637e-10,0.514607,0.356995,0.356995,-5.3035e-09,0.356995,-5.3035e-09,1.23808
0.118972,0.975022,-4.06677e-09,-4.06677e-09,0.387677,0.297368,0.297368,5.10492e-09,0.297368,5.10492e-09,1.00535
0.0995921,0.699053,2.33725e-09,2.33725e-09,0.272306,0.228098,0.228098,-1.96688e-08,0.228098,-1.96688e-08,0.772005
0.0802125,0.502533,4.58677e-09,4.58677e-09,0.187685,0.157664,0.157664,3.38198e-09,0.157664,3.38198e-09,0.554638
0.0608328,0.367563,5.90176e-09,5.90176e-09,0.132267,0.112207,0.112207,-9.26913e-09,0.112207,-9.26913e-09,0.405642
0.0414532,0.246406,-5.52506e-09,-5.52506e-09,0.0741923,0.0611178,0.0611178,1.38967e-08,0.0611178,1.38967e-08,0.235536
0.0220735,0.0821064,1.68535e-09,1.68535e-09,0.0344602,0.0314782,0.0314782,-7.12091e-09,0.0314782,-7.12091e-09,0.125498
0.152694,1.33465,7.59826e-10,7.59826e-10,0.566633,0.380414,0.380414,-4.65207e-10,0.380414,-4.65207e-10,1.32372
