w, grad11, grad21, grad12, grad22,P11, P21, P12, P22, c11, c12, c13, c14, c21, c22, c23, c24, c31, c32, c33, c34, c41, c42, c43, c44
0.142119,-0.0363919,-0.144696,0.131941,0.0156021,-0.0207735,-0.00413536,-0.00468538,0.0169184,1.26466,-0.12083,0.125709,0.494521,-0.12083,0.366268,0.33625,-0.111647,0.125709,0.33625,0.369475,0.122173,0.494521,-0.111647,0.122173,1.17797
0.0258411,-0.0326062,-0.127469,0.106217,0.0140301,-0.023273,-0.00758629,-0.00882548,0.0127684,1.38327,-0.104785,0.125569,0.564514,-0.104785,0.394503,0.375673,-0.0999093,0.125569,0.375673,0.399326,0.119848,0.564514,-0.0999093,0.119848,1.29356
0.809563,-0.0302992,-0.136661,0.115765,0.0130059,-0.00407968,0.000455815,0.000309614,0.00370724,0.217127,-0.0310566,0.00231958,0.020195,-0.0310566,0.00488813,0.00405479,-0.00393267,0.00231953,0.00405479,0.0103716,0.022138,0.020195,-0.00393263,0.022138,0.205498
0.693285,-0.0279922,-0.145853,0.124528,0.012002,-0.00525646,0.000142671,0.000140801,0.00618723,0.371356,-0.0537477,0.00917654,0.0580065,-0.0537478,0.0274781,0.022198,-0.0132669,0.00917652,0.022198,0.0335603,0.0391099,0.0580065,-0.0132669,0.0391099,0.354584
0.577007,-0.0425154,-0.147974,0.144109,0.0182433,-0.0137256,0.0011742,0.000700303,0.0112404,0.556802,-0.0769484,0.0268526,0.12111,-0.0769484,0.0735496,0.067155,-0.0303707,0.0268526,0.067155,0.0867259,0.0610605,0.12111,-0.0303707,0.0610605,0.513732
0.460729,-0.0387461,-0.155105,0.151612,0.0166069,-0.0131319,0.000489694,0.000517714,0.0138011,0.700514,-0.0924327,0.0478804,0.187217,-0.0924328,0.139818,0.123383,-0.0511763,0.0478803,0.123383,0.149029,0.0770291,0.187217,-0.0511763,0.0770291,0.652861
0.344451,-0.0349767,-0.162236,0.158424,0.0149798,-0.011466,-0.000859151,0.000128944,0.0178014,0.918005,-0.112514,0.086058,0.30205,-0.112514,0.246486,0.214242,-0.0859834,0.086058,0.214242,0.250753,0.101006,0.30205,-0.0859834,0.101006,0.862373
0.228174,-0.0346299,-0.149454,0.136699,0.0148339,-0.0167492,-0.00391204,-0.00389214,0.0170442,1.15848,-0.117161,0.114073,0.436291,-0.117161,0.333991,0.302872,-0.104583,0.114073,0.302872,0.337173,0.114858,0.436291,-0.104583,0.114858,1.08579
0.111896,-0.0315725,-0.156584,0.144255,0.0135118,-0.0129077,-0.00497247,-0.00386369,0.0202469,1.28657,-0.132567,0.139924,0.51098,-0.132567,0.382299,0.339778,-0.124838,0.139924,0.339778,0.38555,0.135543,0.51098,-0.124838,0.135543,1.20894
0.895618,-0.028515,-0.163713,0.151078,0.0121834,-0.00143636,0.000232413,0.000336351,0.00231535,0.104244,-0.0180973,0.000424037,0.00474358,-0.0180972,0.00215174,0.000376173,-0.00114085,0.000424062,0.000376094,0.00481392,0.0141252,0.00474355,-0.00114087,0.0141252,0.0990633
0.77934,-0.0266707,-0.150612,0.12929,0.0114245,-0.00327424,0.000304769,0.000374664,0.00445079,0.251802,-0.0388746,0.0038903,0.0274079,-0.0388746,0.0104915,0.00677183,-0.00596835,0.00389032,0.00677183,0.0151626,0.028755,0.0274079,-0.00596837,0.0287549,0.240845
0.663062,-0.024367,-0.157756,0.136898,0.0104167,-0.00348263,-0.000300374,0.000138446,0.00717576,0.407683,-0.0619684,0.013055,0.0703745,-0.0619685,0.040433,0.0304065,-0.0177066,0.0130549,0.0304065,0.0448588,0.0469851,0.0703744,-0.0177067,0.046985,0.392887
0.546784,-0.0220633,-0.164899,0.143733,0.00938708,-0.00237641,-0.00196517,-0.000807523,0.0104261,0.580773,-0.0831271,0.0321226,0.138535,-0.0831271,0.103939,0.0839173,-0.0389973,0.0321226,0.0839173,0.106249,0.0658294,0.138535,-0.0389973,0.0658294,0.563076
0.430506,-0.0326517,-0.165738,0.161992,0.0140234,-0.00815204,-0.000412571,0.000757704,0.0155473,0.742892,-0.100068,0.0592814,0.211126,-0.100068,0.170025,0.144009,-0.0617846,0.0592815,0.144009,0.17627,0.0868282,0.211126,-0.0617846,0.0868281,0.701143
0.314228,-0.0290768,-0.170858,0.167551,0.0124409,-0.0050537,-0.00176323,0.000786872,0.0201257,0.963068,-0.120606,0.0997992,0.330379,-0.120606,0.275953,0.232985,-0.0984232,0.0997992,0.232985,0.278669,0.111912,0.330379,-0.0984232,0.111912,0.914378
0.19795,-0.025502,-0.175977,0.172587,0.0109874,4.46467e-05,-0.00325358,0.0011927,0.0253122,1.17147,-0.143615,0.139151,0.450407,-0.143615,0.362173,0.301296,-0.133336,0.139151,0.301296,0.36345,0.139248,0.450407,-0.133336,0.139248,1.11622
0.0816723,-0.0267622,-0.167229,0.154685,0.0114079,-0.00488438,-0.00610984,-0.00309775,0.0234674,1.30064,-0.142438,0.151969,0.523218,-0.142438,0.3949,0.340459,-0.136102,0.151969,0.340459,0.398456,0.147226,0.523218,-0.136102,0.147226,1.23328
0.865394,-0.0237374,-0.172287,0.160355,0.010071,-0.00101083,0.000154016,0.000458045,0.00303357,0.138376,-0.0245972,0.00134514,0.00859655,-0.0245972,0.00475911,0.0010909,-0.00194847,0.00134513,0.00109089,0.00748855,0.0201957,0.00859655,-0.00194849,0.0201957,0.132692
0.749116,-0.0207125,-0.177345,0.165448,0.00872803,-0.000593505,-9.48214e-05,0.000806422,0.00611414,0.28289,-0.0495789,0.00729024,0.0352446,-0.0495788,0.0205491,0.0103504,-0.00894915,0.00729029,0.0103504,0.0242091,0.0415847,0.0352446,-0.00894912,0.0415847,0.2736
0.632838,-0.0207341,-0.168406,0.147377,0.00879235,-0.00132545,-0.000910428,0.000100553,0.00825231,0.444549,-0.0698664,0.0177778,0.0841119,-0.0698664,0.0557845,0.0404368,-0.0229995,0.0177778,0.0404368,0.058397,0.0547632,0.0841119,-0.0229995,0.0547632,0.432235
0.516561,-0.0183137,-0.173537,0.153158,0.0077011,0.000598641,-0.00233975,-0.000507575,0.010979,0.574699,-0.0855114,0.0342123,0.137298,-0.0855115,0.107592,0.083336,-0.0404991,0.0342122,0.083336,0.108611,0.0700239,0.137298,-0.0404991,0.0700239,0.561421
0.400283,-0.0158933,-0.178669,0.158308,0.0064687,0.00404348,-0.00504761,-0.00180793,0.0153203,0.773743,-0.103361,0.0683338,0.235599,-0.103361,0.202894,0.16478,-0.0714519,0.0683338,0.16478,0.203088,0.0929362,0.235599,-0.0714519,0.0929362,0.757718
0.284005,-0.0232568,-0.177867,0.175176,0.00993673,0.00170667,-0.00266525,0.00162614,0.0225031,1.00717,-0.128366,0.112801,0.358646,-0.128366,0.303094,0.249654,-0.110577,0.112801,0.249654,0.304786,0.122173,0.358646,-0.110577,0.122173,0.966043
0.167727,-0.0206619,-0.182302,0.179796,0.0085621,0.00698715,-0.00396471,0.00233894,0.0276312,1.20202,-0.152111,0.149756,0.471874,-0.152111,0.379641,0.308478,-0.144386,0.149756,0.308478,0.380534,0.148815,0.471874,-0.144386,0.148815,1.15579
0.0514489,-0.018067,-0.186736,0.185072,0.00852834,0.0128748,-0.00484847,0.00363291,0.032531,1.28429,-0.166044,0.167024,0.521513,-0.166044,0.410324,0.326398,-0.16128,0.167024,0.326398,0.41089,0.163035,0.521513,-0.16128,0.163035,1.23757
0.835171,-0.0189058,-0.179651,0.168098,0.00787708,-0.000158451,-1.63304e-05,0.000576078,0.00371868,0.172003,-0.0312468,0.00245853,0.0133842,-0.0312468,0.00843516,0.00226709,-0.00317032,0.00245852,0.00226709,0.010759,0.0265426,0.0133842,-0.00317034,0.0265426,0.166766
0.718893,-0.0159126,-0.183228,0.172578,0.00654107,0.00126799,-0.000492317,0.000928,0.00687354,0.317677,-0.0560425,0.0102176,0.0447322,-0.0560425,0.0294699,0.0152944,-0.0119848,0.0102176,0.0152944,0.0319909,0.0487022,0.0447322,-0.0119848,0.0487022,0.310272
