rx, ry, theta,c11, c12, c13, c14, c22, c23, c24, c33, c34, c44
0.445501,0.379342,0.316818,0.354187,0.00931288,0.00931288,0.0515648,0.0269787,0.0269787,0.0122699,0.0269787,0.0122699,0.248344
0.387362,0.246408,1.47618,0.423968,0.0144954,0.0144954,0.146238,0.103999,0.103999,0.0133226,0.103999,0.0133226,0.689192
0.329223,0.113473,1.06554,0.703345,0.0990691,0.0990691,0.273365,0.248034,0.248034,0.106667,0.248034,0.106667,0.926351
0.271084,0.430539,0.654897,0.425675,-0.0656319,-0.0656319,0.127644,0.0983843,0.0983843,-0.0625884,0.0983843,-0.0625884,0.498867
0.212945,0.297605,0.244256,0.66891,-0.0240683,-0.0240683,0.248039,0.18552,0.18552,-0.0238719,0.18552,-0.0238719,0.814417
0.154806,0.16467,1.40362,1.05374,-0.0012479,-0.0012479,0.41731,0.298953,0.298953,-0.000834833,0.298953,-0.000834833,1.03947
0.0966673,0.0317362,0.992975,1.26849,0.0146254,0.0146254,0.537261,0.37018,0.37018,0.0158486,0.37018,0.0158486,1.29008
0.0385283,0.348802,0.582335,0.761286,-0.127903,-0.127903,0.280069,0.296801,0.296801,-0.141727,0.296801,-0.141727,0.973063
0.430389,0.215868,0.171694,0.732115,0.0333385,0.0333385,0.127347,0.0951532,0.0951532,0.0413819,0.0951532,0.0413819,0.342425
0.37225,0.0829333,1.33105,0.547686,0.0761137,0.0761137,0.230889,0.228859,0.228859,0.0874437,0.228859,0.0874437,1.02415
0.314111,0.399999,0.920413,0.47516,-0.0331585,-0.0331585,0.11221,0.0762438,0.0762438,-0.0349987,0.0762438,-0.0349987,0.424197
0.255972,0.267065,0.509773,0.721678,-0.00492508,-0.00492508,0.242584,0.176803,0.176803,-0.00571351,0.176803,-0.00571351,0.730097
0.197834,0.13413,0.0991325,1.08062,0.00629134,0.00629134,0.402221,0.29373,0.29373,0.00574485,0.29373,0.00574485,0.963817
0.139695,0.00119613,1.25849,1.34323,-3.26229e-06,-3.26229e-06,0.575249,0.383765,0.383765,8.44153e-05,0.383765,8.44153e-05,1.34339
0.0815556,0.318262,0.847852,0.892146,-0.125364,-0.125364,0.295162,0.279289,0.279289,-0.123399,0.279289,-0.123399,0.83186
0.0234166,0.185328,0.437211,1.07657,-0.0444141,-0.0444141,0.452029,0.350162,0.350162,-0.0478375,0.350162,-0.0478375,1.23032
0.415278,0.0523933,0.0265707,1.09825,0.0138111,0.0138111,0.186343,0.19653,0.19653,0.0114811,0.19653,0.0114811,0.419079
0.357139,0.369459,1.18593,0.442967,-0.00359481,-0.00359481,0.100661,0.0641453,0.0641453,-0.00371089,0.0641453,-0.00371089,0.425285
0.299,0.236525,0.77529,0.708475,0.0354531,0.0354531,0.232945,0.172624,0.172624,0.0354532,0.172624,0.0354532,0.708475
0.240861,0.10359,0.364649,1.0836,0.051384,0.051384,0.371443,0.288542,0.288542,0.0483272,0.288542,0.0483272,0.890971
0.182722,0.420656,1.52401,0.814042,-0.0124407,-0.0124407,0.14356,0.108519,0.108519,-0.0150306,0.108519,-0.0150306,0.367045
0.124583,0.287722,1.11337,0.969869,-0.0752725,-0.0752725,0.312432,0.255723,0.255723,-0.0698498,0.255723,-0.0698498,0.781685
0.0664439,0.154788,0.702728,1.16526,-0.034192,-0.034192,0.480843,0.344738,0.344738,-0.0335537,0.344738,-0.0335537,1.1858
0.00830496,0.0218532,0.292087,1.34477,-0.000116298,-0.000116298,0.576149,0.384255,0.384255,-0.000116298,0.384255,-0.000116298,1.34477
0.400166,0.338919,1.45145,0.359073,0.00589227,0.00589227,0.0913344,0.0572518,0.0572518,0.00489936,0.0572518,0.00489936,0.472313
0.342027,0.205985,1.04081,0.615661,0.0667211,0.0667211,0.216892,0.173317,0.173317,0.0666308,0.173317,0.0666308,0.742821
0.283888,0.0730503,0.630166,0.996737,0.107248,0.107248,0.330956,0.294631,0.294631,0.103056,0.294631,0.103056,0.872282
0.225749,0.390116,0.219526,0.436748,-0.0393002,-0.0393002,0.15808,0.12008,0.12008,-0.035098,0.12008,-0.035098,0.724648
0.16761,0.257182,1.37889,0.955854,-0.0203549,-0.0203549,0.31936,0.238684,0.238684,-0.0194728,0.238684,-0.0194728,0.799472
0.109471,0.124247,0.968245,1.17844,-0.00698669,-0.00698669,0.483984,0.338103,0.338103,-0.00752356,0.338103,-0.00752356,1.16244
0.0513322,0.441313,0.557604,0.53479,-0.154887,-0.154887,0.198933,0.263594,0.263594,-0.178361,0.263594,-0.178361,0.864417
0.443193,0.308379,0.146964,0.519599,0.0113564,0.0113564,0.0771249,0.0437532,0.0437532,0.0171539,0.0437532,0.0171539,0.27092
0.385054,0.175445,1.30632,0.482768,0.0608123,0.0608123,0.189371,0.158456,0.158456,0.0605534,0.158456,0.0605534,0.828087
0.326915,0.0425103,0.895683,0.840952,0.130344,0.130344,0.297414,0.302701,0.302701,0.136946,0.302701,0.136946,0.947883
0.268776,0.359576,0.485042,0.52013,-0.0376399,-0.0376399,0.163808,0.119556,0.119556,-0.0365999,0.119556,-0.0365999,0.618063
0.210637,0.226642,0.0744018,0.854973,-0.000699674,-0.000699674,0.319415,0.233324,0.233324,-0.00202507,0.233324,-0.00202507,0.885267
0.152498,0.0937074,1.23376,1.12213,0.0143355,0.0143355,0.473373,0.334622,0.334622,0.0152715,0.334622,0.0152715,1.18811
0.0943595,0.410773,0.823121,0.729479,-0.157611,-0.157611,0.221941,0.246838,0.246838,-0.156541,0.246838,-0.156541,0.671365
0.0362205,0.277839,0.41248,0.862431,-0.0771782,-0.0771782,0.352723,0.314441,0.314441,-0.0864118,0.314441,-0.0864118,1.13472
0.428082,0.144905,0.00183994,0.90214,0.000477536,0.000477536,0.157512,0.128108,0.128108,0.000161582,0.128108,0.000161582,0.379963
0.369943,0.0119703,1.1612,0.831675,0.0783258,0.0783258,0.337053,0.319926,0.319926,0.0960692,0.319926,0.0960692,1.13765
0.311804,0.329036,0.750559,0.551035,-0.00860856,-0.00860856,0.155738,0.106885,0.106885,-0.0078155,0.106885,-0.0078155,0.56043
0.253665,0.196102,0.339919,0.881545,0.0238998,0.0238998,0.30192,0.224837,0.224837,0.0234574,0.224837,0.0234574,0.79475
0.195526,0.0631674,1.49928,1.02073,0.00600705,0.00600705,0.442735,0.32772,0.32772,0.00817647,0.32772,0.00817647,1.2223
0.137387,0.380233,1.08864,0.838386,-0.111217,-0.111217,0.220734,0.210132,0.210132,-0.104095,0.210132,-0.104095,0.57137
0.0792478,0.247299,0.677997,0.955733,-0.0858598,-0.0858598,0.368177,0.303957,0.303957,-0.0877353,0.303957,-0.0877353,1.02506
0.0211088,0.114365,0.267357,1.22651,-0.0107055,-0.0107055,0.527264,0.369945,0.369945,-0.0107482,0.369945,-0.0107482,1.30896
0.41297,0.43143,1.42672,0.300824,-0.00175848,-0.00175848,0.0439705,0.0226871,0.0226871,-0.00127944,0.0226871,-0.00127944,0.257081
0.354831,0.298496,1.01608,0.508913,0.0242685,0.0242685,0.146721,0.102006,0.102006,0.0236022,0.102006,0.0236022,0.559598
