w,c11, c12, c13, c14, c22, c23, c24, c33, c34, c44
0.770109,0.252062,1.56957e-09,1.56957e-09,0.0282521,0.00736705,0.00736705,-6.00179e-09,0.00736705,-6.00179e-09,0.252062
0.653831,0.411335,-1.04007e-09,-1.04007e-09,0.0733784,0.0323,0.0323,2.3475e-08,0.0323,2.3475e-08,0.411335
0.537553,0.589853,-3.42415e-09,-3.42415e-09,0.146015,0.0891312,0.0891312,-4.41093e-08,0.0891312,-4.41093e-08,0.589853
0.421275,0.797548,-1.64692e-09,-1.64692e-09,0.252906,0.1792,0.1792,-2.64054e-08,0.1792,-2.64054e-08,0.797548
0.304997,0.970017,-6.24384e-09,-6.24384e-09,0.351921,0.254081,0.254081,2.10869e-08,0.254081,2.10869e-08,0.970017
0.188719,1.18883,1.71929e-09,1.71929e-09,0.482657,0.336152,0.336152,6.79116e-09,0.336152,6.79116e-09,1.18883
0.0724411,1.32812,3.29755e-10,3.29755e-10,0.566253,0.379608,0.379608,1.62311e-09,0.379608,1.62311e-09,1.32812
0.856163,0.17737,-6.66139e-11,-6.6614e-11,0.0141584,0.0025511,0.0025511,-3.98652e-08,0.0025511,-3.98652e-08,0.17737
0.739885,0.290513,2.4073e-09,2.4073e-09,0.0373113,0.0113381,0.0113381,1.55657e-08,0.0113381,1.55657e-08,0.290513
0.623607,0.453788,2.10608e-10,2.10608e-10,0.0886632,0.0430842,0.0430842,-5.81106e-08,0.0430842,-5.81106e-08,0.453788
0.507329,0.638751,-4.47507e-09,-4.47507e-09,0.169399,0.109063,0.109063,-2.14348e-07,0.109063,-2.14348e-07,0.638751
0.391051,0.797548,-1.64692e-09,-1.64692e-09,0.252906,0.1792,0.1792,-2.64054e-08,0.1792,-2.64054e-08,0.797548
0.274774,1.02789,-7.60849e-09,-7.60849e-09,0.386189,0.277407,0.277407,2.16499e-08,0.277407,2.16499e-08,1.02789
0.158496,1.23418,7.65437e-10,7.65437e-10,0.509949,0.351046,0.351046,8.84729e-09,0.351046,8.84729e-09,1.23418
0.0422177,1.34204,2.51499e-10,2.51499e-10,0.574485,0.383542,0.383542,3.73403e-10,0.383542,3.73403e-10,1.34204
0.82594,0.214374,2.40042e-09,2.40042e-09,0.0205545,0.00451029,0.00451029,-2.26257e-08,0.00451029,-2.26257e-08,0.214374
0.709662,0.329812,3.47073e-09,3.47073e-09,0.0477994,0.0166564,0.0166564,1.41728e-08,0.0166564,1.41728e-08,0.329812
0.593384,0.497565,-1.43887e-09,-1.43887e-09,0.105772,0.0560941,0.0560941,2.25243e-08,0.0560941,2.25243e-08,0.497565
0.477106,0.689674,-5.42387e-09,-5.42387e-09,0.195049,0.13099,0.13099,1.16879e-08,0.13099,1.16879e-08,0.689674
0.360828,0.854093,-8.31499e-10,-8.315e-10,0.284689,0.204414,0.204414,-3.70942e-08,0.204414,-3.70942e-08,0.854093
0.24455,1.08443,-5.3858e-10,-5.3858e-10,0.41994,0.299092,0.299092,1.98998e-09,0.299092,1.98998e-09,1.08443
0.128272,1.27328,6.61267e-10,6.61267e-10,0.533447,0.363308,0.363308,4.70403e-09,0.363308,4.70403e-09,1.27328
0.0119943,1.34615,2.76043e-16,-6.87901e-18,0.576923,0.384615,0.384615,-1.60001e-17,0.384615,-1.60001e-17,1.34615
0.795716,0.252062,1.56957e-09,1.56957e-09,0.0282521,0.00736705,0.00736705,-6.00179e-09,0.00736705,-6.00179e-09,0.252062
0.679438,0.370052,-2.10751e-09,-2.10751e-09,0.0597924,0.0235639,0.0235639,-4.39555e-08,0.0235639,-4.39555e-08,0.370052
0.563161,0.542853,-3.23284e-09,-3.23284e-09,0.124843,0.0714388,0.0714388,1.60106e-10,0.0714388,1.60106e-10,0.542853
0.446883,0.742646,-1.91757e-09,-1.91757e-09,0.222934,0.154534,0.154534,3.9253e-08,0.154534,3.9253e-08,0.742646
0.330605,0.911803,-8.62154e-09,-8.62154e-09,0.317872,0.229571,0.229571,-1.06906e-07,0.229571,-1.06906e-07,0.911803
0.214327,1.13848,4.52992e-09,4.52992e-09,0.452375,0.318767,0.318767,-6.90152e-09,0.318767,-6.90152e-09,1.13848
0.0980489,1.30493,3.18508e-10,3.18507e-10,0.55242,0.372848,0.372848,7.50975e-10,0.372848,7.50975e-10,1.30493
0.881771,0.140975,2.2616e-09,2.2616e-09,0.00900997,0.0012927,0.0012927,-1.45504e-08,0.0012927,-1.45504e-08,0.140975
0.765493,0.290513,2.4073e-09,2.4073e-09,0.0373113,0.0113381,0.0113381,1.55657e-08,0.0113381,1.55657e-08,0.290513
0.649215,0.411335,-1.04007e-09,-1.04007e-09,0.0733784,0.0323,0.0323,2.3475e-08,0.0323,2.3475e-08,0.411335
0.532937,0.589853,-3.42415e-09,-3.42415e-09,0.146015,0.0891312,0.0891312,-4.41093e-08,0.0891312,-4.41093e-08,0.589853
0.416659,0.797548,-1.64692e-09,-1.64692e-09,0.252906,0.1792,0.1792,-2.64054e-08,0.1792,-2.64054e-08,0.797548
0.300381,0.970017,-6.24384e-09,-6.24384e-09,0.351921,0.254081,0.254081,2.10869e-08,0.254081,2.10869e-08,0.970017
0.184103,1.18883,1.71929e-09,1.71929e-09,0.482657,0.336152,0.336152,6.79116e-09,0.336152,6.79116e-09,1.18883
0.0678255,1.32812,3.29755e-10,3.29755e-10,0.566253,0.379608,0.379608,1.62311e-09,0.379608,1.62311e-09,1.32812
0.851548,0.17737,-6.66139e-11,-6.6614e-11,0.0141584,0.0025511,0.0025511,-3.98652e-08,0.0025511,-3.98652e-08,0.17737
0.73527,0.290513,2.4073e-09,2.4073e-09,0.0373113,0.0113381,0.0113381,1.55657e-08,0.0113381,1.55657e-08,0.290513
0.618992,0.453788,2.10608e-10,2.10608e-10,0.0886632,0.0430842,0.0430842,-5.81106e-08,0.0430842,-5.81106e-08,0.453788
0.502714,0.638751,-4.47507e-09,-4.47507e-09,0.169399,0.109063,0.109063,-2.14348e-07,0.109063,-2.14348e-07,0.638751
0.386436,0.854093,-8.31499e-10,-8.315e-10,0.284689,0.204414,0.204414,-3.70942e-08,0.204414,-3.70942e-08,0.854093
0.270158,1.02789,-7.60849e-09,-7.60849e-09,0.386189,0.277407,0.277407,2.16499e-08,0.277407,2.16499e-08,1.02789
0.15388,1.23418,7.65437e-10,7.65437e-10,0.509949,0.351046,0.351046,8.84729e-09,0.351046,8.84729e-09,1.23418
0.0376021,1.34204,2.51499e-10,2.51499e-10,0.574485,0.383542,0.383542,3.73403e-10,0.383542,3.73403e-10,1.34204
0.821324,0.214374,2.40042e-09,2.40042e-09,0.0205545,0.00451029,0.00451029,-2.26257e-08,0.00451029,-2.26257e-08,0.214374
0.705046,0.329812,3.47073e-09,3.47073e-09,0.0477994,0.0166564,0.0166564,1.41728e-08,0.0166564,1.41728e-08,0.329812
0.588768,0.497565,-1.43887e-09,-1.43887e-09,0.105772,0.0560941,0.0560941,2.25243e-08,0.0560941,2.25243e-08,0.497565
0.47249,0.689674,-5.42387e-09,-5.42387e-09,0.195049,0.13099,0.13099,1.16879e-08,0.13099,1.16879e-08,0.689674
0.356213,0.911803,-8.62154e-09,-8.62154e-09,0.317872,0.229571,0.229571,-1.06906e-07,0.229571,-1.06906e-07,0.911803
0.239935,1.08443,-5.3858e-10,-5.3858e-10,0.41994,0.299092,0.299092,1.98998e-09,0.299092,1.98998e-09,1.08443
0.123657,1.27328,6.61267e-10,6.61267e-10,0.533447,0.363308,0.363308,4.70403e-09,0.363308,4.70403e-09,1.27328
0.00737873,1.34615,2.64011e-16,1.39125e-18,0.576923,0.384615,0.384615,-1.70873e-17,0.384615,-1.70873e-17,1.34615
0.791101,0.252062,1.56957e-09,1.56957e-09,0.0282521,0.00736705,0.00736705,-6.00179e-09,0.00736705,-6.00179e-09,0.252062
0.674823,0.370052,-2.10751e-09,-2.10751e-09,0.0597924,0.0235639,0.0235639,-4.39555e-08,0.0235639,-4.39555e-08,0.370052
0.558545,0.542853,-3.23284e-09,-3.23284e-09,0.124843,0.0714388,0.0714388,1.60106e-10,0.0714388,1.60106e-10,0.542853
0.442267,0.742646,-1.91757e-09,-1.91757e-09,0.222934,0.154534,0.154534,3.9253e-08,0.154534,3.9253e-08,0.742646
0.325989,0.970017,-6.24384e-09,-6.24384e-09,0.351921,0.254081,0.254081,2.10869e-08,0.254081,2.10869e-08,0.970017
0.209711,1.13848,4.52992e-09,4.52992e-09,0.452375,0.318767,0.318767,-6.90152e-09,0.318767,-6.90152e-09,1.13848
0.0934333,1.30493,3.18508e-10,3.18507e-10,0.55242,0.372848,0.372848,7.50975e-10,0.372848,7.50975e-10,1.30493
0.877155,0.140975,2.2616e-09,2.2616e-09,0.00900997,0.0012927,0.0012927,-1.45504e-08,0.0012927,-1.45504e-08,0.140975
0.760877,0.290513,2.4073e-09,2.4073e-09,0.0373113,0.0113381,0.0113381,1.55657e-08,0.0113381,1.55657e-08,0.290513
0.6446,0.411335,-1.04007e-09,-1.04007e-09,0.0733784,0.0323,0.0323,2.3475e-08,0.0323,2.3475e-08,0.411335
0.528322,0.589853,-3.42415e-09,-3.42415e-09,0.146015,0.0891312,0.0891312,-4.41093e-08,0.0891312,-4.41093e-08,0.589853
0.412044,0.797548,-1.64692e-09,-1.64692e-09,0.252906,0.1792,0.1792,-2.64054e-08,0.1792,-2.64054e-08,0.797548
0.295766,1.02789,-7.60849e-09,-7.60849e-09,0.386189,0.277407,0.277407,2.16499e-08,0.277407,2.16499e-08,1.02789
0.179488,1.18883,1.71929e-09,1.71929e-09,0.482657,0.336152,0.336152,6.79116e-09,0.336152,6.79116e-09,1.18883
0.0632099,1.32812,3.29755e-10,3.29755e-10,0.566253,0.379608,0.379608,1.62311e-09,0.379608,1.62311e-09,1.32812
0.846932,0.17737,-6.66139e-11,-6.6614e-11,0.0141584,0.0025511,0.0025511,-3.98652e-08,0.0025511,-3.98652e-08,0.17737
0.730654,0.329812,3.47073e-09,3.47073e-09,0.0477994,0.0166564,0.0166564,1.41728e-08,0.0166564,1.41728e-08,0.329812
0.614376,0.453788,2.10608e-10,2.10608e-10,0.0886632,0.0430842,0.0430842,-5.81106e-08,0.0430842,-5.81106e-08,0.453788
0.498098,0.638751,-4.47507e-09,-4.47507e-09,0.169399,0.109063,0.109063,-2.14348e-07,0.109063,-2.14348e-07,0.638751
0.38182,0.854093,-8.31499e-10,-8.315e-10,0.284689,0.204414,0.204414,-3.70942e-08,0.204414,-3.70942e-08,0.854093
0.265542,1.08443,-5.3858e-10,-5.3858e-10,0.41994,0.299092,0.299092,1.98998e-09,0.299092,1.98998e-09,1.08443
0.149264,1.23418,7.65437e-10,7.65437e-10,0.509949,0.351046,0.351046,8.84729e-09,0.351046,8.84729e-09,1.23418
0.0329865,1.34204,2.51499e-10,2.51499e-10,0.574485,0.383542,0.383542,3.73403e-10,0.383542,3.73403e-10,1.34204
0.816709,0.214374,2.40042e-09,2.40042e-09,0.0205545,0.00451029,0.00451029,-2.26257e-08,0.00451029,-2.26257e-08,0.214374
0.700431,0.370052,-2.10751e-09,-2.10751e-09,0.0597924,0.0235639,0.0235639,-4.39555e-08,0.0235639,-4.39555e-08,0.370052
0.584153,0.497565,-1.43887e-09,-1.43887e-09,0.105772,0.0560941,0.0560941,2.25243e-08,0.0560941,2.25243e-08,0.497565
0.467875,0.689674,-5.42387e-09,-5.42387e-09,0.195049,0.13099,0.13099,1.16879e-08,0.13099,1.16879e-08,0.689674
0.351597,0.911803,-8.62154e-09,-8.62154e-09,0.317872,0.229571,0.229571,-1.06906e-07,0.229571,-1.06906e-07,0.911803
0.235319,1.08443,-5.3858e-10,-5.3858e-10,0.41994,0.299092,0.299092,1.98998e-09,0.299092,1.98998e-09,1.08443
0.119041,1.27328,6.61267e-10,6.61267e-10,0.533447,0.363308,0.363308,4.70403e-09,0.363308,4.70403e-09,1.27328
0.00276315,1.34615,2.46579e-16,-7.62324e-18,0.576923,0.384615,0.384615,-2.07153e-17,0.384615,-2.07153e-17,1.34615
0.786485,0.252062,1.56957e-09,1.56957e-09,0.0282521,0.00736705,0.00736705,-6.00179e-09,0.00736705,-6.00179e-09,0.252062
0.670207,0.411335,-1.04007e-09,-1.04007e-09,0.0733784,0.0323,0.0323,2.3475e-08,0.0323,2.3475e-08,0.411335
0.553929,0.542853,-3.23284e-09,-3.23284e-09,0.124843,0.0714388,0.0714388,1.60106e-10,0.0714388,1.60106e-10,0.542853
0.437651,0.742646,-1.91757e-09,-1.91757e-09,0.222934,0.154534,0.154534,3.9253e-08,0.154534,3.9253e-08,0.742646
0.321374,0.970017,-6.24384e-09,-6.24384e-09,0.351921,0.254081,0.254081,2.10869e-08,0.254081,2.10869e-08,0.970017
0.205096,1.13848,4.52992e-09,4.52992e-09,0.452375,0.318767,0.318767,-6.90152e-09,0.318767,-6.90152e-09,1.13848
0.0888177,1.30493,3.18508e-10,3.18507e-10,0.55242,0.372848,0.372848,7.50975e-10,0.372848,7.50975e-10,1.30493
